x,y,label
13.19988,21.639027,Echinodermata
13.677188,21.358969,Echinodermata
15.27128,23.823812,Echinodermata
13.16215,21.503366,Echinodermata
14.319851,23.374865,Echinodermata
14.672948,21.193329,Echinodermata
15.469503,23.55503,Echinodermata
15.523498,23.54675,Echinodermata
14.624169,23.814688,Echinodermata
14.850228,22.147188,Echinodermata
14.688035,24.084948,Echinodermata
13.728332,21.166433,Echinodermata
14.560851,20.917574,Echinodermata
14.724859,24.074898,Echinodermata
14.424154,23.752056,Echinodermata
14.40937,23.375595,Echinodermata
14.2118225,23.120087,Echinodermata
15.310004,23.382273,Echinodermata
13.479593,21.606998,Echinodermata
14.106837,21.262186,Echinodermata
14.219827,22.399029,Echinodermata
14.639057,23.663137,Echinodermata
14.599708,23.909014,Echinodermata
14.228548,23.100826,Echinodermata
14.584623,23.990828,Echinodermata
14.334925,20.471043,Echinodermata
15.316765,23.19167,Echinodermata
14.707272,24.101921,Echinodermata
15.330287,23.727882,Echinodermata
13.798985,21.818768,Echinodermata
12.946061,21.248508,Echinodermata
15.389311,23.384207,Echinodermata
14.773282,22.021385,Echinodermata
15.2412195,23.759249,Echinodermata
15.47076,23.757517,Echinodermata
14.112166,21.06307,Echinodermata
15.521751,23.673826,Echinodermata
14.7329035,23.649824,Echinodermata
15.482317,23.767029,Echinodermata
14.533451,21.977732,Echinodermata
14.926507,23.91757,Echinodermata
13.834329,21.207024,Echinodermata
14.164149,21.79088,Echinodermata
14.014989,21.21175,Echinodermata
13.993067,22.121765,Echinodermata
14.508467,23.628002,Echinodermata
13.446663,21.690197,Echinodermata
13.69134,21.95499,Echinodermata
13.881551,21.082048,Echinodermata
14.237478,22.94619,Echinodermata
14.161811,20.420391,Echinodermata
13.053379,21.312172,Echinodermata
13.093694,21.302805,Echinodermata
13.083359,21.309443,Echinodermata
14.44999,23.794952,Echinodermata
16.095474,23.497963,Echinodermata
14.308346,22.41051,Echinodermata
14.70894,23.406311,Echinodermata
13.01393,21.579391,Echinodermata
15.613297,23.75566,Echinodermata
14.670027,24.061909,Echinodermata
15.709143,23.260431,Echinodermata
16.069532,23.520504,Echinodermata
15.61355,23.482092,Echinodermata
15.69575,23.527758,Echinodermata
15.440486,23.460648,Echinodermata
13.164791,21.70826,Echinodermata
14.431013,23.738554,Echinodermata
14.594946,20.885916,Echinodermata
14.431525,21.174982,Echinodermata
13.194558,21.728361,Echinodermata
